id,owner,created,modified,name,title,type,typeKeywords,description,tags,snippet,thumbnail,extent,spatialReference,accessInformation,licenseInfo,culture,url,access,size,listed,numComments,numRatings,avgRatings,numViews,itemURL
dffc83b059dd459ebf28d1bc2cb62d6f,AdminHRSD,2015-06-01,2017-07-18,,"Interceptor General Map",Web Map,"ArcGIS Online,Explorer Web Map,Map,Online Map,useOnly,Web Map",,"interceptor,general,map","General map of the HRSD Interceptor System.",thumbnail/Thumb-InterceptorGeneralMap_Public.jpg,,,,,en-us,,org,0,False,0,0,0,12471,https://hrsd.maps.arcgis.com/home/item.html?id=dffc83b059dd459ebf28d1bc2cb62d6f
c41ee8d6efab404bbe5d3264e00d5310,AdminHRSD,2013-05-01,2017-05-19,,"AGOL Imagery Basemap",Web Map,"ArcGIS Online,Explorer Web Map,Map,Online Map,Web Map","<span style='line-height: 115%; font-family: &quot;Calibri&quot;,&quot;sans-serif&quot;; font-size: 11pt; mso-fareast-font-family: Calibri; mso-bidi-theme-font: minor-latin; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-latin; mso-hansi-theme-font: minor-latin; mso-ansi-language: EN-US; mso-fareast-language: EN-US; mso-bidi-language: AR-SA;'><font color='#000000'>For more details, please visit - </font></span><span style='line-height: 115%; font-family: &quot;Calibri&quot;,&quot;sans-serif&quot;; font-size: 11pt; mso-fareast-font-family: Calibri; mso-bidi-font-family: &quot;Times New Roman&quot;; mso-bidi-theme-font: minor-bidi; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-latin; mso-hansi-theme-font: minor-latin; mso-ansi-language: EN-US; mso-fareast-language: EN-US; mso-bidi-language: AR-SA;'><a href='http://www.arcgis.com/home/item.html?id=86de95d4e0244cba80f0fa2c9403a7b2'><font color='#0000ff'>http://www.arcgis.com/home/item.html?id=86de95d4e0244cba80f0fa2c9403a7b2</font></a></span>","Basemap,imagery",,thumbnail/ago_downloaded.png,,,,,en-us,,public,0,False,0,0,0,11127,https://hrsd.maps.arcgis.com/home/item.html?id=c41ee8d6efab404bbe5d3264e00d5310
ea761477e21d4043bb1aacb63c6df2d9,AdminHRSD,2015-05-20,2017-03-06,,"HRSD Dispatch Webmap HRSDSS - MWWEB2",Web Map,"ArcGIS Online,Collector,Data Editing,Explorer Web Map,Map,Offline,Online Map,Web Map",,"Dispatch,Prod","Dispatcher Webmap for South Shore",thumbnail/ago_downloaded.png,,,,,en-us,,shared,0,False,0,0,0,11383,https://hrsd.maps.arcgis.com/home/item.html?id=ea761477e21d4043bb1aacb63c6df2d9
c1c3206b406f44e283daa8722d5470c3,AdminHRSD,2015-05-20,2017-01-30,,"HRSD Dispatch Webmap HRSDNS - MWWEB2",Web Map,"ArcGIS Online,Collector,Data Editing,Explorer Web Map,Map,Offline,Online Map,Web Map",,"Dispatch,Prod","Dispatcher Webmap for  North Shore",thumbnail/ago_downloaded.png,,,,,en-us,,shared,0,False,0,0,0,11079,https://hrsd.maps.arcgis.com/home/item.html?id=c1c3206b406f44e283daa8722d5470c3
ffdef9e4038a43d0a9ec3378535d97e9,AdminHRSD,2013-05-01,2017-05-19,,"AGOL Streets Basemap",Web Map,"ArcGIS Online,Explorer Web Map,Map,Online Map,Web Map","<font color='#000000'><span style='mso-bidi-font-family: Calibri; mso-bidi-theme-font: minor-latin;'><font face='Calibri' size='3'>For more details, please visit - </font></span></font><a href='http://www.arcgis.com/home/item.html?id=d8855ee4d3d74413babfb0f41203b168'><font size='3'><font face='Calibri'><font color='#0000ff'>http://www.arcgis.com/home/item.html?id=</font><span style='color: windowtext; text-decoration: none; text-underline: none;'> </span><font color='#0000ff'>d8855ee4d3d74413babfb0f41203b168</font></font></font></a><span style='mso-bidi-font-family: Calibri; mso-bidi-theme-font: minor-latin;'></span><font color='#000000' face='Times New Roman' size='3'>

</font>","Basemap,Streets","This street map is designed to be used as a basemap and a reference map.  The map has been compiled by ESRI.  The basemap's extent is set to the HRSD service area.",thumbnail/ago_downloaded.png,,,,,en-us,,public,0,False,0,0,0,8567,https://hrsd.maps.arcgis.com/home/item.html?id=ffdef9e4038a43d0a9ec3378535d97e9
0a4cfa4c62f24ce78608a25f4095c639,AdminHRSD,2016-09-19,2017-05-19,,"SCD_DetailMap_PnP",Map Service,"ArcGIS Server,Data,Dynamic,Map Service,Multilayer,Service",,pnp,"Small Communities assets.",,,102100,,,en-us,http://gis1:6080/arcgis/rest/services/pnp/SCD_DetailMap_PnP/MapServer,public,0,False,0,0,0,8063,https://hrsd.maps.arcgis.com/home/item.html?id=0a4cfa4c62f24ce78608a25f4095c639
4c983c689f224af78e64f8ba4a233862,AdminHRSD,2016-09-21,2017-06-22,,"HRSD__Interceptor_Details_PnP",Map Service,"ArcGIS Server,Data,Dynamic,Map Service,Multilayer,Service",,"PNP,pnp","General HRSD Interceptor Layers for Map Portal.",,,102100,,,en-us,http://gis1:6080/arcgis/rest/services/pnp/HRSD__Interceptor_Details_PnP/MapServer,public,0,False,0,0,0,7683,https://hrsd.maps.arcgis.com/home/item.html?id=4c983c689f224af78e64f8ba4a233862
e02e42bccda94277aa3b5c706f3de72c,AdminHRSD,2016-09-22,2017-05-19,,"LOCALITY_Sewer_PnP",Map Service,"ArcGIS Server,Data,Dynamic,Map Service,Multilayer,Service",,pnp,"Locality sewer layers.",,,2925,,,en-us,http://gis1:6080/arcgis/rest/services/pnp/LOCALITY_Sewer_PnP/MapServer,public,0,False,0,0,0,7537,https://hrsd.maps.arcgis.com/home/item.html?id=e02e42bccda94277aa3b5c706f3de72c
202851c955414667bb625105cda952de,AdminHRSD,2016-10-14,2017-05-19,,"Property_HRSDandEasements_PnP",Map Service,"ArcGIS Server,Data,Dynamic,Map Service,Service,Singlelayer","Property_HRSDandEasements.PnP",pnp,"Property_HRSDandEasements.PnP",,,102100,,,en-us,http://gis1:6080/arcgis/rest/services/pnp/Property_HRSDandEasements_PnP/MapServer,public,0,False,0,0,0,7494,https://hrsd.maps.arcgis.com/home/item.html?id=202851c955414667bb625105cda952de
3d2f8da79f894b3bb4c93a535344aa66,AdminHRSD,2016-09-22,2017-05-19,,"LOCALITY_Parcels_PnP",Map Service,"ArcGIS Server,Data,Dynamic,Map Service,Service,Singlelayer",,pnp,"Locality Parcels",,,2925,,,en-us,http://gis1:6080/arcgis/rest/services/pnp/LOCALITY_Parcels_PnP/MapServer,public,0,False,0,0,0,7305,https://hrsd.maps.arcgis.com/home/item.html?id=3d2f8da79f894b3bb4c93a535344aa66
